t0_rep1	t0_rep2	t0_rep3	t1_rep1	t1_rep2	t1_rep3	t2_rep1	t2_rep2	t2_rep3	t4_rep1	t4_rep2	t4_rep3
1	0.880449452752703	0.882596832852873	0.695539273938983	0.689693556316382	0.688646676461246	0.427572111085408	0.438416247024537	0.460348803028301	0.476508753623668	0.441483538056737	0.449667147996651
0.880449452752703	1	0.885996167828761	0.684199451494426	0.673167958817883	0.717624210153093	0.442998833631855	0.44425956655155	0.460049705159782	0.50131352933261	0.444450722778293	0.457698612271672
0.882596832852873	0.885996167828761	1	0.69387873515294	0.665427049176406	0.708904268787094	0.423564871470732	0.43165063079158	0.459067757927919	0.464034144503418	0.435630872599153	0.453894549306258
0.695539273938983	0.684199451494426	0.69387873515294	1	0.857436829752762	0.862079915542638	0.794965034305106	0.795739841702114	0.820748933223031	0.618139474323589	0.589953031933207	0.60003332282645
0.689693556316382	0.673167958817883	0.665427049176406	0.857436829752762	1	0.867644102400875	0.804199063977563	0.795561378605293	0.792572107070818	0.581776853589333	0.562289334964022	0.57804712565234
0.688646676461246	0.717624210153093	0.708904268787094	0.862079915542638	0.867644102400875	1	0.791436368163857	0.800595070775273	0.78900267941333	0.611410649031433	0.592975683878455	0.617168442578827
0.427572111085408	0.442998833631855	0.423564871470732	0.794965034305106	0.804199063977563	0.791436368163857	1	0.881010602668022	0.880793364334424	0.640586959211198	0.596600550668589	0.613936288310076
0.438416247024537	0.44425956655155	0.43165063079158	0.795739841702114	0.795561378605293	0.800595070775273	0.881010602668022	1	0.907825138004761	0.594493753215227	0.6017202153546	0.595151567519157
0.460348803028301	0.460049705159782	0.459067757927919	0.820748933223031	0.792572107070818	0.78900267941333	0.880793364334424	0.907825138004761	1	0.606815980159714	0.602813935273529	0.595400067528078
0.476508753623668	0.50131352933261	0.464034144503418	0.618139474323589	0.581776853589333	0.611410649031433	0.640586959211198	0.594493753215227	0.606815980159714	1	0.848871921385804	0.871400104285499
0.441483538056737	0.444450722778293	0.435630872599153	0.589953031933207	0.562289334964022	0.592975683878455	0.596600550668589	0.6017202153546	0.602813935273529	0.848871921385804	1	0.88110241818564
0.449667147996651	0.457698612271672	0.453894549306258	0.60003332282645	0.57804712565234	0.617168442578827	0.613936288310076	0.595151567519157	0.595400067528078	0.871400104285499	0.88110241818564	1
